8.8.8.8              : [0], 64 bytes, 8.88 ms (8.88 avg, 0% loss)
8.8.4.4              : [0], 64 bytes, 7.54 ms (7.54 avg, 0% loss)
208.67.220.123       : [0], 64 bytes, 6.64 ms (6.64 avg, 0% loss)
2001:4860:4860::8888 : [0], 64 bytes, 8.42 ms (8.42 avg, 0% loss)
80.80.80.80          : [0], 64 bytes, 61.2 ms (61.2 avg, 0% loss)
2001:4860:4860::8844 : [0], 64 bytes, 7.56 ms (7.56 avg, 0% loss)
80.80.81.81          : [0], 64 bytes, 58.4 ms (58.4 avg, 0% loss)
2620:119:35::35      : [0], 64 bytes, 8.10 ms (8.10 avg, 0% loss)
2620:fe::fe          : [0], 64 bytes, 6.61 ms (6.61 avg, 0% loss)
2a10:50c0::ad1:ff    : [0], 64 bytes, 7.54 ms (7.54 avg, 0% loss)
8.26.56.26           : [0], 64 bytes, 75.4 ms (75.4 avg, 0% loss)
2606:4700:4700::1111 : [0], 64 bytes, 7.30 ms (7.30 avg, 0% loss)
8.20.247.20          : [0], 64 bytes, 75.1 ms (75.1 avg, 0% loss)
180.76.76.76         : [0], 64 bytes, 171 ms (171 avg, 0% loss)
114.114.114.114      : [0], 64 bytes, 167 ms (167 avg, 0% loss)
77.88.8.8            : [0], 64 bytes, 287 ms (287 avg, 0% loss)
77.88.8.88           : [0], 64 bytes, 289 ms (289 avg, 0% loss)
77.88.8.1            : [0], 64 bytes, 305 ms (305 avg, 0% loss)
77.88.8.2            : [0], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [0], 64 bytes, 295 ms (295 avg, 0% loss)
77.88.8.3            : [0], 64 bytes, 289 ms (289 avg, 0% loss)
8.8.8.8              : [1], 64 bytes, 12.8 ms (10.9 avg, 0% loss)
8.8.4.4              : [1], 64 bytes, 5.78 ms (6.66 avg, 0% loss)
208.67.220.123       : [1], 64 bytes, 7.73 ms (7.19 avg, 0% loss)
216.146.35.35        : [0], timed out (NaN avg, 100% loss)
216.146.36.36        : [0], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [1], 64 bytes, 7.24 ms (7.83 avg, 0% loss)
80.80.80.80          : [1], 64 bytes, 58.8 ms (60.0 avg, 0% loss)
2001:4860:4860::8844 : [1], 64 bytes, 5.79 ms (6.68 avg, 0% loss)
